type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
casual2v2,20220314T040103.000Z,,54000041,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#Y9R22RQ2,CMG Ian77,7346,1,#L89GRCRR,Fatherless,16000154,Executioner,9,9,The Log,6,6,Tornado,9,9,Valkyrie,12,12,Goblins,14,14,Ice Spirit,14,14,Rocket,12,12,Hog Rider,12,12,#G8JU0LCQU,kira❤️,,1,#L89GRCRR,Fatherless,16000154,The Log,5,6,Princess,6,6,Rocket,12,12,Goblin Barrel,9,9,Goblin Gang,13,14,Tesla,9,14,Ice Spirit,13,14,Knight,14,14,#QUYJCL22,Leon137,5672,0,#P8C9YRLR,Clash mexican,16000012,P.E.K.K.A,9,9,Miner,2,6,Musketeer,11,12,Fireball,12,12,Bats,13,14,Skeleton King,2,4,Skeletons,12,14,The Log,3,6,#8CYJ9V08C,~Sr.Aaron~,,0,#LL88UCC,Acción Komando,16000172,Hog Rider,12,12,Lumberjack,6,6,Firecracker,14,14,Electro Wizard,5,6,Tesla,14,14,Guards,8,9,Elite Barbarians,14,14,Zap,13,14
friendly,20220314T035712.000Z,,54000019,Grand Champion,72000007,Friendly,,collection,#Y9R22RQ2,CMG Ian77,7346,1,#L89GRCRR,Fatherless,16000154,Executioner,6,9,The Log,3,6,Tornado,6,9,Valkyrie,9,12,Goblins,11,14,Ice Spirit,11,14,Rocket,9,12,Hog Rider,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G8JU0LCQU,kira❤️,5556,0,#L89GRCRR,Fatherless,16000154,The Log,3,6,Princess,3,6,Rocket,9,12,Goblin Barrel,6,9,Goblin Gang,11,14,Tesla,11,14,Ice Spirit,11,14,Valkyrie,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220314T035159.000Z,,54000013,Challenger II,72000007,Friendly,,collection,#Y9R22RQ2,CMG Ian77,7346,0,#L89GRCRR,Fatherless,16000154,Miner,3,6,The Log,3,6,Electro Spirit,11,14,Rocket,9,12,Royal Delivery,11,14,Tesla,11,14,Skeletons,11,14,Dark Prince,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G8JU0LCQU,kira❤️,5556,1,#L89GRCRR,Fatherless,16000154,Golem,6,9,Tornado,6,9,Balloon,6,9,Skeleton Army,6,9,Rocket,9,12,Night Witch,3,6,Clone,6,9,Lumberjack,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220314T034622.000Z,,54000013,Challenger II,72000007,Friendly,,collection,#Y9R22RQ2,CMG Ian77,7346,3,#L89GRCRR,Fatherless,16000154,Bowler,6,9,Fireball,9,12,Goblin Barrel,6,9,The Log,3,6,Mirror,6,9,Minion Horde,11,14,Furnace,9,12,Rascals,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G8JU0LCQU,kira❤️,5556,1,#L89GRCRR,Fatherless,16000154,Royal Ghost,3,6,Magic Archer,3,6,Bandit,3,6,Heal Spirit,9,12,Battle Ram,9,12,The Log,3,6,Elite Barbarians,11,14,Cannon Cart,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220314T034137.000Z,,54000013,Challenger II,72000007,Friendly,,collection,#Y9R22RQ2,CMG Ian77,7346,0,#L89GRCRR,Fatherless,16000154,Mortar,11,14,Mega Minion,9,12,Firecracker,11,14,The Log,3,6,Tornado,6,9,Skeletons,11,14,Valkyrie,9,12,Earthquake,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G8JU0LCQU,kira❤️,5556,1,#L89GRCRR,Fatherless,16000154,Graveyard,3,6,Archers,11,14,Inferno Dragon,3,6,Arrows,11,14,Bomb Tower,9,12,Valkyrie,9,12,Poison,6,9,Cannon Cart,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220314T033628.000Z,,54000019,Grand Champion,72000007,Friendly,,collection,#Y9R22RQ2,CMG Ian77,7346,0,#L89GRCRR,Fatherless,16000154,Princess,3,6,The Log,3,6,Hog Rider,9,12,Ice Golem,9,12,Bats,11,14,Mini P.E.K.K.A,9,12,Fire Spirit,11,14,Rocket,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G8JU0LCQU,kira❤️,5556,1,#L89GRCRR,Fatherless,16000154,Goblin Cage,9,12,Fire Spirit,11,14,The Log,3,6,Arrows,11,14,Royal Hogs,9,12,Earthquake,9,12,Hunter,6,9,Skeletons,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220314T032027.000Z,,54000041,Legendary Arena,72000201,Ladder_CrownRush,,collection,#Y9R22RQ2,CMG Ian77,7328,1,#L89GRCRR,Fatherless,16000154,Princess,6,6,The Log,6,6,Hog Rider,12,12,Ice Golem,12,12,Bats,14,14,Mini P.E.K.K.A,12,12,Fire Spirit,14,14,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#28VRQ9GYC,一名術士,7192,0,#QPLPY0,Mr. Elmo,16000078,Dark Prince,9,9,Fisherman,6,6,Giant,12,12,Mega Minion,12,12,Archers,14,14,Arrows,14,14,Graveyard,6,6,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220314T031538.000Z,,54000041,Legendary Arena,72000201,Ladder_CrownRush,,collection,#Y9R22RQ2,CMG Ian77,7353,1,#L89GRCRR,Fatherless,16000154,Princess,6,6,The Log,6,6,Hog Rider,12,12,Ice Golem,12,12,Bats,14,14,Mini P.E.K.K.A,12,12,Fire Spirit,14,14,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LLJQUL2C,｢OLR™｣ ʀᴀғɪɴʜᴀ,7408,2,#9QUQ8ULR,OS LENDÁRIOS✌,16000044,Giant,12,12,Skeleton Army,9,9,Bats,14,14,Mini P.E.K.K.A,12,12,Arrows,14,14,Musketeer,12,12,Giant Snowball,14,14,Graveyard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220314T030137.000Z,,54000041,Legendary Arena,72000201,Ladder_CrownRush,,collection,#Y9R22RQ2,CMG Ian77,7323,1,#L89GRCRR,Fatherless,16000154,Princess,6,6,The Log,6,6,Hog Rider,12,12,Ice Golem,12,12,Bats,14,14,Mini P.E.K.K.A,12,12,Fire Spirit,14,14,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9Q8UUYJRL,GOD SHOTE LAVA,7328,0,#GPUG2PQP,GOD NAKASHU,16000040,Balloon,9,9,Zap,14,14,Fireball,12,12,Tombstone,12,12,Valkyrie,12,12,Mega Minion,12,12,Skeleton Dragons,14,14,Lava Hound,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220314T025642.000Z,,54000041,Legendary Arena,72000201,Ladder_CrownRush,,collection,#Y9R22RQ2,CMG Ian77,7293,1,#L89GRCRR,Fatherless,16000154,Princess,6,6,The Log,6,6,Hog Rider,12,12,Ice Golem,12,12,Bats,14,14,Mini P.E.K.K.A,12,12,Fire Spirit,14,14,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JPG8PP2U,善は急げ,7299,0,#GCQYJP,梅☆弁当,16000054,Sparky,6,6,Tornado,9,9,Goblin Barrel,9,9,Ice Golem,12,12,Giant,12,12,Spear Goblins,14,14,Giant Snowball,14,14,Minions,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
