type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220313T170008.000Z,,54000041,Legendary Arena,72000201,Ladder_CrownRush,,collection,#9G28ULYR,TRB Lucas,6986,1,#LJ2G2JVC,SomosTodos75,16000149,Wall Breakers,9,9,Inferno Tower,12,12,Fire Spirit,14,14,Guards,9,9,Dart Goblin,12,12,Fireball,12,12,Valkyrie,12,12,Goblin Drill,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#890J89GG9,Orium,7074,0,#LRYU9RJG,LighTown ⭐️,16000040,Bandit,6,6,Skeleton Army,9,9,Bats,14,14,Mega Knight,6,6,Tesla,14,14,Fireball,12,12,Wall Breakers,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220313T165617.000Z,,54000041,Legendary Arena,72000201,Ladder_CrownRush,,collection,#9G28ULYR,TRB Lucas,7011,0,#LJ2G2JVC,SomosTodos75,16000149,Wall Breakers,9,9,Inferno Tower,12,12,Fire Spirit,14,14,Guards,9,9,Dart Goblin,12,12,Fireball,12,12,Valkyrie,12,12,Goblin Drill,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8J9UCJCQ,✨♣️♦️Pedal♥️♠️✨,7058,3,,,,Wall Breakers,9,9,Royal Ghost,6,6,Goblin Drill,9,9,Princess,6,6,Royal Recruits,14,14,Bandit,6,6,Elite Barbarians,14,14,Ice Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220313T005732.000Z,,54000018,Champion,72000007,Friendly,,collection,#9G28ULYR,TRB Lucas,7011,0,#LJ2G2JVC,SomosTodos75,16000149,X-Bow,6,9,Freeze,6,9,Rage,6,9,Ice Spirit,11,14,Electro Spirit,11,14,Tesla,11,14,Tombstone,9,12,Elixir Collector,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LP8PLVJCU,RS たぁ,7011,1,#GL89PJ9C,CRL2022,16000170,Skeleton King,1,4,Giant Skeleton,6,9,Sparky,3,6,Hunter,6,9,Clone,6,9,Skeleton Army,6,9,Arrows,11,14,Skeleton Barrel,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220313T005307.000Z,,54000018,Champion,72000007,Friendly,,collection,#9G28ULYR,TRB Lucas,7011,1,#LJ2G2JVC,SomosTodos75,16000149,Royal Recruits,11,14,Balloon,6,9,Graveyard,3,6,Bomber,11,14,Arrows,11,14,Skeleton King,1,4,Skeleton Army,6,9,Zappies,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LP8PLVJCU,RS たぁ,7011,0,#GL89PJ9C,CRL2022,16000170,Magic Archer,3,6,Bomb Tower,9,12,Fireball,9,12,Miner,3,6,Spear Goblins,11,14,Wall Breakers,6,9,Tornado,6,9,Dark Prince,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220313T004838.000Z,,54000018,Champion,72000007,Friendly,,collection,#9G28ULYR,TRB Lucas,7011,0,#LJ2G2JVC,SomosTodos75,16000149,Lava Hound,3,6,Golem,6,9,Night Witch,3,6,Clone,6,9,Elixir Golem,9,12,Skeletons,11,14,Wizard,9,12,Tornado,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LP8PLVJCU,RS たぁ,7011,3,#GL89PJ9C,CRL2022,16000170,Tesla,11,14,Rocket,9,12,The Log,3,6,Guards,6,9,Princess,3,6,Goblin Barrel,6,9,Valkyrie,9,12,Electro Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220313T003825.000Z,,54000017,Master III,72000007,Friendly,,collection,#9G28ULYR,TRB Lucas,7011,1,#LJ2G2JVC,SomosTodos75,16000149,Tesla,11,14,Guards,6,9,Knight,11,14,Firecracker,11,14,Hog Rider,9,12,Royal Delivery,11,14,Earthquake,9,12,Electro Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#J2G29PRY,CMG DROKSBEEL,6600,0,#P9GRQ89P,Clanpeyo,16000099,Lightning,6,9,Skeleton King,1,4,Fisherman,3,6,Electro Spirit,11,14,Royal Giant,11,14,Musketeer,9,12,Skeleton Army,6,9,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220313T001053.000Z,,54000017,Master III,72000007,Friendly,,collection,#9G28ULYR,TRB Lucas,7011,1,#LJ2G2JVC,SomosTodos75,16000149,Valkyrie,9,12,Goblin Barrel,6,9,Dart Goblin,9,12,Fire Spirit,11,14,Skeletons,11,14,Inferno Tower,9,12,Rocket,9,12,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#J2G29PRY,CMG DROKSBEEL,6600,0,#P9GRQ89P,Clanpeyo,16000099,Lava Hound,3,6,Skeleton Dragons,11,14,Flying Machine,9,12,Arrows,11,14,Guards,6,9,Miner,3,6,Tombstone,9,12,Inferno Dragon,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220313T000011.000Z,,54000018,Champion,72000007,Friendly,,collection,#9G28ULYR,TRB Lucas,7011,0,#LJ2G2JVC,SomosTodos75,16000149,Mega Knight,3,6,Giant Snowball,11,14,Arrows,11,14,Inferno Dragon,3,6,Zappies,9,12,Tombstone,9,12,Skeleton King,1,4,Graveyard,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#J2G29PRY,CMG DROKSBEEL,6600,1,#P9GRQ89P,Clanpeyo,16000099,Hog Rider,9,12,Valkyrie,9,12,Fire Spirit,11,14,Earthquake,9,12,Archer Queen,1,4,Bomb Tower,9,12,Skeletons,11,14,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220312T233027.000Z,,54000017,Master III,72000007,Friendly,,collection,#9G28ULYR,TRB Lucas,7011,1,#LJ2G2JVC,SomosTodos75,16000149,Wall Breakers,6,9,Inferno Tower,9,12,Electro Spirit,11,14,Guards,6,9,Dart Goblin,9,12,Fireball,9,12,Valkyrie,9,12,Goblin Drill,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RCCUJJCC,Inoraj,6877,0,#82Q0VRRU,Cthulhu eSports,16000028,Archer Queen,1,4,Bandit,3,6,Barbarian Barrel,6,9,Electro Spirit,11,14,Fireball,9,12,Mega Knight,3,6,Ram Rider,3,6,Royal Ghost,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220312T232401.000Z,,54000018,Champion,72000007,Friendly,,collection,#9G28ULYR,TRB Lucas,7011,1,#LJ2G2JVC,SomosTodos75,16000149,Archer Queen,1,4,Earthquake,9,12,Royal Delivery,11,14,Cannon,11,14,The Log,3,6,Fire Spirit,11,14,Skeletons,11,14,Royal Hogs,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RCCUJJCC,Inoraj,6877,0,#82Q0VRRU,Cthulhu eSports,16000028,Sparky,3,6,Goblin Giant,6,9,Rage,6,9,Mini P.E.K.K.A,9,12,Dark Prince,6,9,Zappies,9,12,Minions,11,14,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
