type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220313T200029.000Z,,54000041,Legendary Arena,72000201,Ladder_CrownRush,,collection,#G9YV9GR8R,Mohamed Light,7265,1,#9C2YR8UV,Q8Team EG,16000003,Skeleton King,4,4,Inferno Dragon,6,6,Tornado,9,9,Electro Giant,9,9,Ice Wizard,6,6,Barbarian Barrel,9,9,Earthquake,12,12,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8CVJLP08,Vini™️,7220,0,#Q8QQVRYJ,YT Vini™️CR,16000058,Archer Queen,4,4,Fireball,12,12,The Log,6,6,Miner,6,6,Mortar,14,14,Valkyrie,12,12,Skeletons,14,14,Fire Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220313T195534.000Z,,54000041,Legendary Arena,72000201,Ladder_CrownRush,,collection,#G9YV9GR8R,Mohamed Light,7237,1,#9C2YR8UV,Q8Team EG,16000003,Skeleton King,4,4,Inferno Dragon,6,6,Tornado,9,9,Electro Giant,9,9,Ice Wizard,6,6,Barbarian Barrel,9,9,Earthquake,12,12,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JPG8PP2U,善は急げ,7214,0,#GCQYJP,梅☆弁当,16000054,Sparky,6,6,Tornado,9,9,Goblin Barrel,9,9,Ice Golem,12,12,Giant,12,12,Spear Goblins,14,14,Giant Snowball,14,14,Minions,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220313T195204.000Z,,54000041,Legendary Arena,72000201,Ladder_CrownRush,,collection,#G9YV9GR8R,Mohamed Light,7271,0,#9C2YR8UV,Q8Team EG,16000003,Mega Knight,6,6,Ram Rider,6,6,Lightning,9,9,Giant Snowball,14,14,Zappies,12,12,Tombstone,12,12,Skeleton King,4,4,Cannon Cart,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2LV9VRY8G,Kodigoⓒʀ,7224,1,#YGRV2CVG,Twitch Kodigo,16000040,Earthquake,12,12,Bomb Tower,12,12,Archer Queen,4,4,Hog Rider,12,12,The Log,6,6,Valkyrie,12,12,Fire Spirit,14,14,Skeletons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220313T194643.000Z,,54000041,Legendary Arena,72000201,Ladder_CrownRush,,collection,#G9YV9GR8R,Mohamed Light,7304,0,#9C2YR8UV,Q8Team EG,16000003,Barbarian Barrel,9,9,Royal Ghost,6,6,Golden Knight,4,4,Cannon Cart,9,9,Magic Archer,6,6,Tornado,9,9,Electro Wizard,6,6,Goblin Drill,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PU0GY8Q9,CHN丨Jetoff✨,7267,1,#L0YJ02YL,硬中华,16000014,Ice Golem,12,12,Hog Rider,12,12,Earthquake,12,12,Fire Spirit,14,14,Cannon,14,14,Musketeer,12,12,Skeletons,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220313T171601.000Z,,54000041,Legendary Arena,72000201,Ladder_CrownRush,,collection,#G9YV9GR8R,Mohamed Light,7279,1,#9C2YR8UV,Q8Team EG,16000003,Zappies,12,12,Flying Machine,12,12,Royal Hogs,12,12,Dark Prince,9,9,Arrows,14,14,Goblin Cage,12,12,Electro Spirit,14,14,Royal Recruits,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2RRJVC29G,ken,7221,0,#LUR0PRR2,CowCowFinance,16000138,P.E.K.K.A,9,9,Ram Rider,6,6,Bandit,6,6,Barbarian Barrel,9,9,Baby Dragon,9,9,Electro Wizard,6,6,Lightning,9,9,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220313T171102.000Z,,54000041,Legendary Arena,72000201,Ladder_CrownRush,,collection,#G9YV9GR8R,Mohamed Light,7251,1,#9C2YR8UV,Q8Team EG,16000003,Zappies,12,12,Flying Machine,12,12,Royal Hogs,12,12,Dark Prince,9,9,Arrows,14,14,Goblin Cage,12,12,Electro Spirit,14,14,Royal Recruits,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2P28CV9UV,jacob,7233,0,#PVJG8YQQ,Andy is back,16000043,P.E.K.K.A,9,9,Dark Prince,9,9,Barbarian Barrel,9,9,Baby Dragon,9,9,Freeze,9,9,Graveyard,6,6,Tornado,9,9,Electro Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220313T170254.000Z,,54000041,Legendary Arena,72000201,Ladder_CrownRush,,collection,#G9YV9GR8R,Mohamed Light,7289,1,#9C2YR8UV,Q8Team EG,16000003,Zappies,12,12,Flying Machine,12,12,Royal Hogs,12,12,Dark Prince,9,9,Arrows,14,14,Goblin Cage,12,12,Electro Spirit,14,14,Royal Recruits,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9VVQ8R9G8,İMPARATOR ORHAN,7191,2,#LRJQJC0Q,ATAK#DEFANS ™,16000030,Lava Hound,6,6,Lumberjack,6,6,Baby Dragon,9,9,Giant Snowball,14,14,Skeleton Army,9,9,Clone,9,9,Bats,14,14,Flying Machine,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220313T165519.000Z,,54000041,Legendary Arena,72000201,Ladder_CrownRush,,collection,#G9YV9GR8R,Mohamed Light,7330,0,#9C2YR8UV,Q8Team EG,16000003,Archer Queen,4,4,Flying Machine,12,12,Royal Hogs,12,12,Dark Prince,9,9,Arrows,14,14,Tombstone,12,12,Electro Spirit,14,14,Royal Recruits,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#20GJJPU9,Over かずと❦,7183,1,#Y89VR8JL,Juvenile,16000040,X-Bow,9,9,Valkyrie,12,12,Archer Queen,4,4,Tesla,14,14,The Log,6,6,Rocket,12,12,Tornado,8,9,Skeletons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220313T164941.000Z,,54000041,Legendary Arena,72000201,Ladder_CrownRush,,collection,#G9YV9GR8R,Mohamed Light,7301,1,#9C2YR8UV,Q8Team EG,16000003,Archer Queen,4,4,Flying Machine,12,12,Royal Hogs,12,12,Dark Prince,9,9,Arrows,14,14,Tombstone,12,12,Electro Spirit,14,14,Royal Recruits,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9Q8UUYJRL,GOD SHOTE LAVA,7299,0,#GPUG2PQP,GOD NAKASHU,16000040,Balloon,9,9,Zap,14,14,Fireball,12,12,Tombstone,12,12,Valkyrie,12,12,Mega Minion,12,12,Skeleton Dragons,14,14,Lava Hound,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220313T164400.000Z,,54000041,Legendary Arena,72000201,Ladder_CrownRush,,collection,#G9YV9GR8R,Mohamed Light,7276,1,#9C2YR8UV,Q8Team EG,16000003,Archer Queen,4,4,Flying Machine,12,12,Royal Hogs,12,12,Dark Prince,9,9,Arrows,14,14,Tombstone,12,12,Electro Spirit,14,14,Royal Recruits,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9JYVLYVJ9,John™ ✨,7223,0,#LCRR20PV,SK / BRO,16000002,Tornado,9,9,Barbarian Barrel,9,9,Freeze,9,9,Electro Wizard,6,6,P.E.K.K.A,9,9,Balloon,9,9,Baby Dragon,9,9,Lumberjack,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220313T163842.000Z,,54000041,Legendary Arena,72000201,Ladder_CrownRush,,collection,#G9YV9GR8R,Mohamed Light,7247,1,#9C2YR8UV,Q8Team EG,16000003,Archer Queen,4,4,Flying Machine,12,12,Royal Hogs,12,12,Dark Prince,9,9,Arrows,14,14,Tombstone,12,12,Electro Spirit,14,14,Royal Recruits,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9Y8VYLQU0,メリオダス⚔️,7242,0,#L0VUCJRY,Mementmori,16000002,Dart Goblin,12,12,The Log,6,6,Princess,6,6,Guards,9,9,Goblin Barrel,9,9,Prince,9,9,Rascals,14,14,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220313T135238.000Z,,54000041,Legendary Arena,72000291,Challenge_AllCards_EventDeck,,eventDeck,#G9YV9GR8R,Mohamed Light,7247,1,#9C2YR8UV,Q8Team EG,16000003,Knight,11,14,Royal Delivery,11,14,Hog Rider,9,12,Skeletons,11,14,The Log,3,6,Archer Queen,1,4,Earthquake,9,12,Tesla,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G029CV9G,Jandauletoff A,6200,0,#P2P2Y880,! ShocK-13 !,16000175,Ice Golem,9,12,Hog Rider,9,12,Fire Spirit,11,14,Earthquake,9,12,Skeletons,11,14,Musketeer,9,12,Cannon,11,14,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220313T110150.000Z,,54000041,Legendary Arena,72000291,Challenge_AllCards_EventDeck,,eventDeck,#G9YV9GR8R,Mohamed Light,7247,1,#9C2YR8UV,Q8Team EG,16000003,Knight,11,14,Royal Delivery,11,14,Hog Rider,9,12,Skeletons,11,14,The Log,3,6,Archer Queen,1,4,Earthquake,9,12,Tesla,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YQY0GQQU,[H] Axel Coria,6747,0,,,,Archer Queen,1,4,Royal Ghost,3,6,Bandit,3,6,Magic Archer,3,6,Heal Spirit,9,12,Battle Ram,9,12,Elite Barbarians,11,14,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220313T105533.000Z,,54000041,Legendary Arena,72000291,Challenge_AllCards_EventDeck,,eventDeck,#G9YV9GR8R,Mohamed Light,7247,1,#9C2YR8UV,Q8Team EG,16000003,Knight,11,14,Royal Delivery,11,14,Hog Rider,9,12,Skeletons,11,14,The Log,3,6,Archer Queen,1,4,Earthquake,9,12,Tesla,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RYUJCQYYP,watery,5312,0,#QJ2GJGGJ,厨艺交流中心,16000039,Mega Knight,3,6,Ram Rider,3,6,Lightning,6,9,Archer Queen,1,4,Inferno Dragon,3,6,Barbarian Barrel,6,9,Giant Snowball,11,14,Bandit,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220313T104948.000Z,,54000041,Legendary Arena,72000291,Challenge_AllCards_EventDeck,,eventDeck,#G9YV9GR8R,Mohamed Light,7247,1,#9C2YR8UV,Q8Team EG,16000003,Knight,11,14,Royal Delivery,11,14,Hog Rider,9,12,Skeletons,11,14,The Log,3,6,Archer Queen,1,4,Earthquake,9,12,Tesla,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CJL8QGPV0,StaR。,5008,0,#8U0GCVVR,stargazer,16000040,Balloon,6,9,Miner,3,6,The Log,3,6,Giant Snowball,11,14,Ice Golem,9,12,Hunter,6,9,Royal Delivery,11,14,Minions,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
