type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20220314T002753.000Z,65000000,54000041,Legendary Arena,72000291,Challenge_AllCards_EventDeck,10,eventDeck,#PLCVY9,BIG Schwarzen,6600,0,#G0R9GJVQ,Stop War!,16000175,Knight,11,14,Bats,11,14,Skeletons,11,14,Fire Spirit,11,14,Giant Snowball,11,14,Dart Goblin,9,12,Goblin Drill,6,9,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9CJUJGP98,XLA Kaneee,5164,1,#LJJU99C8,Ily bb,16000108,Ice Golem,9,12,Giant Snowball,11,14,Barbarian Barrel,6,9,Ram Rider,3,6,Magic Archer,3,6,Lumberjack,3,6,Bandit,3,6,Inferno Dragon,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220314T002237.000Z,65000000,54000041,Legendary Arena,72000291,Challenge_AllCards_EventDeck,9,eventDeck,#PLCVY9,BIG Schwarzen,6600,1,#G0R9GJVQ,Stop War!,16000175,Knight,11,14,Bats,11,14,Skeletons,11,14,Fire Spirit,11,14,Giant Snowball,11,14,Dart Goblin,9,12,Goblin Drill,6,9,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YJUC028L,jvrmartiiinez_,6856,0,#L9VRJ,Calalas España,16000175,Lava Hound,3,6,Miner,3,6,Skeleton Dragons,11,14,Mega Minion,9,12,Skeleton King,1,4,Tombstone,9,12,Arrows,11,14,Flying Machine,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220314T001917.000Z,65000000,54000041,Legendary Arena,72000291,Challenge_AllCards_EventDeck,9,eventDeck,#PLCVY9,BIG Schwarzen,6600,0,#G0R9GJVQ,Stop War!,16000175,Knight,11,14,Bats,11,14,Skeletons,11,14,Fire Spirit,11,14,Giant Snowball,11,14,Dart Goblin,9,12,Goblin Drill,6,9,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#J8LPYGGP,Lyn♥️Arda,6127,1,#LRC29YY0,BetaGo,16000014,Electro Spirit,11,14,X-Bow,6,9,Archers,11,14,The Log,3,6,Skeletons,11,14,Knight,11,14,Tesla,11,14,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220314T001455.000Z,65000000,54000041,Legendary Arena,72000291,Challenge_AllCards_EventDeck,8,eventDeck,#PLCVY9,BIG Schwarzen,6600,1,#G0R9GJVQ,Stop War!,16000175,Knight,11,14,Bats,11,14,Skeletons,11,14,Fire Spirit,11,14,Giant Snowball,11,14,Dart Goblin,9,12,Goblin Drill,6,9,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#80UCU9C8Y,Fbk Xbow player,5721,0,#QU0JGRQU,BeaM BeaM,16000020,X-Bow,6,9,Tesla,11,14,Knight,11,14,The Log,3,6,Skeletons,11,14,Ice Spirit,11,14,Archer Queen,1,4,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220314T001059.000Z,65000000,54000041,Legendary Arena,72000291,Challenge_AllCards_EventDeck,8,eventDeck,#PLCVY9,BIG Schwarzen,6600,1,#G0R9GJVQ,Stop War!,16000175,Knight,11,14,Bats,11,14,Skeletons,11,14,Fire Spirit,11,14,Giant Snowball,11,14,Dart Goblin,9,12,Goblin Drill,6,9,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JYYLCVLGP,Ka weabter,5273,2,#P0Q9UP80,乞丐,16000147,Mega Knight,3,6,Ram Rider,3,6,Giant Snowball,11,14,Barbarian Barrel,6,9,Poison,6,9,Inferno Dragon,3,6,Archer Queen,1,4,Bandit,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220314T000551.000Z,65000000,54000041,Legendary Arena,72000291,Challenge_AllCards_EventDeck,7,eventDeck,#PLCVY9,BIG Schwarzen,6600,1,#G0R9GJVQ,Stop War!,16000175,Knight,11,14,Bats,11,14,Skeletons,11,14,Fire Spirit,11,14,Giant Snowball,11,14,Dart Goblin,9,12,Goblin Drill,6,9,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#R2LPGQCV8,kode,6111,0,#8UP8R9UY,pittu club,16000032,Bandit,3,6,Royal Ghost,3,6,Magic Archer,3,6,Archer Queen,1,4,Battle Ram,9,12,Heal Spirit,9,12,Elite Barbarians,11,14,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220314T000240.000Z,65000000,54000041,Legendary Arena,72000291,Challenge_AllCards_EventDeck,6,eventDeck,#PLCVY9,BIG Schwarzen,6600,1,#G0R9GJVQ,Stop War!,16000175,Knight,11,14,Bats,11,14,Skeletons,11,14,Fire Spirit,11,14,Giant Snowball,11,14,Dart Goblin,9,12,Goblin Drill,6,9,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Q98QQJRRY,-Jotaro-,5560,0,#LR9YUP8R,papagayo 2.0,16000029,Ram Rider,3,6,Electro Wizard,3,6,Dark Prince,6,9,P.E.K.K.A,6,9,Fireball,9,12,Bandit,3,6,Barbarian Barrel,6,9,Mother Witch,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220313T235717.000Z,65000000,54000041,Legendary Arena,72000291,Challenge_AllCards_EventDeck,5,eventDeck,#PLCVY9,BIG Schwarzen,6600,1,#G0R9GJVQ,Stop War!,16000175,Knight,11,14,Bats,11,14,Skeletons,11,14,Fire Spirit,11,14,Giant Snowball,11,14,Dart Goblin,9,12,Goblin Drill,6,9,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YVCVPLY,RubiOX,6015,0,#9LG9RU9L,Los Motta,16000044,Poison,6,9,Mega Minion,9,12,Graveyard,3,6,Barbarian Barrel,6,9,Skeleton King,1,4,Tombstone,9,12,Mega Knight,3,6,Electro Wizard,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220313T235400.000Z,65000000,54000041,Legendary Arena,72000291,Challenge_AllCards_EventDeck,4,eventDeck,#PLCVY9,BIG Schwarzen,6600,1,#G0R9GJVQ,Stop War!,16000175,Knight,11,14,Bats,11,14,Skeletons,11,14,Fire Spirit,11,14,Giant Snowball,11,14,Dart Goblin,9,12,Goblin Drill,6,9,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8CPLGC9V,Ghøst Gami ™,6200,0,#L2JCP2V,50maniacos,16000142,Electro Spirit,11,14,Lightning,6,9,Bandit,3,6,Royal Ghost,3,6,Mega Knight,3,6,Giant Snowball,11,14,Ram Rider,3,6,Archer Queen,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220313T185828.000Z,65000000,54000041,Legendary Arena,72000291,Challenge_AllCards_EventDeck,3,eventDeck,#PLCVY9,BIG Schwarzen,6600,2,#G0R9GJVQ,Stop War!,16000175,Knight,11,14,Bats,11,14,Skeletons,11,14,Fire Spirit,11,14,Giant Snowball,11,14,Dart Goblin,9,12,Goblin Drill,6,9,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CP820CQG,naser,5502,1,#8PRL8VGJ,Lethal CR Bros,16000168,Rage,6,9,Balloon,6,9,Zap,11,14,Executioner,6,9,Mini P.E.K.K.A,9,12,Fireball,9,12,Tornado,6,9,Valkyrie,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
