type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
friendly,20220313T164540.000Z,,54000017,Master III,72000007,Friendly,,collection,#R09228V,SK Morten,6820,0,#YUGJCLGU,SK Free2Play,16000044,Bats,11,14,Dart Goblin,9,12,Ice Spirit,11,14,Fireball,9,12,Goblin Barrel,6,9,Skeletons,11,14,Mini P.E.K.K.A,9,12,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#89RP2YVL0,[VTR] Ardentoas,6666,1,#LJV0JJLG,@VatraGaming,16000001,Lava Hound,3,6,Fireball,9,12,Skeleton Army,6,9,Bats,11,14,Flying Machine,9,12,Baby Dragon,6,9,Clone,6,9,Lumberjack,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220313T163935.000Z,,54000017,Master III,72000007,Friendly,,collection,#R09228V,SK Morten,6820,0,#YUGJCLGU,SK Free2Play,16000044,Lava Hound,3,6,Skeleton King,1,4,Mega Minion,9,12,Tombstone,9,12,Miner,3,6,Arrows,11,14,Skeleton Dragons,11,14,Flying Machine,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#89RP2YVL0,[VTR] Ardentoas,6666,1,#LJV0JJLG,@VatraGaming,16000001,Lightning,6,9,Bandit,3,6,Archer Queen,1,4,Ram Rider,3,6,Giant Snowball,11,14,Mega Knight,3,6,Electro Spirit,11,14,Royal Ghost,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220313T161121.000Z,,54000017,Master III,72000007,Friendly,,collection,#R09228V,SK Morten,6820,1,#YUGJCLGU,SK Free2Play,16000044,Mega Knight,3,6,Inferno Dragon,3,6,Lightning,6,9,Royal Ghost,3,6,Giant Snowball,11,14,Bandit,3,6,Ram Rider,3,6,Zappies,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PL8YCR9UJ,CAL LordSeb:],6789,0,#L9VRJ,Calalas España,16000175,Archer Queen,1,4,Earthquake,9,12,Fire Spirit,11,14,Guards,6,9,Hog Rider,9,12,Ice Golem,9,12,Mini P.E.K.K.A,9,12,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220313T160355.000Z,,54000017,Master III,72000007,Friendly,,collection,#R09228V,SK Morten,6820,1,#YUGJCLGU,SK Free2Play,16000044,Tesla,11,14,Archer Queen,1,4,The Log,3,6,Knight,11,14,Hog Rider,9,12,Earthquake,9,12,Skeletons,11,14,Royal Delivery,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PL8YCR9UJ,CAL LordSeb:],6789,0,#L9VRJ,Calalas España,16000175,Arrows,11,14,Poison,6,9,Graveyard,3,6,Inferno Dragon,3,6,Skeleton King,1,4,Tombstone,9,12,Valkyrie,9,12,Zappies,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220313T154633.000Z,,54000017,Master III,72000007,Friendly,,collection,#R09228V,SK Morten,6820,1,#YUGJCLGU,SK Free2Play,16000044,Hog Rider,9,12,Firecracker,11,14,The Log,3,6,Knight,11,14,Earthquake,9,12,Cannon,11,14,Skeletons,11,14,Royal Delivery,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Q2JRCLGJ,CAPGUN,6600,0,,,,Valkyrie,9,12,Earthquake,9,12,Skeletons,11,14,Spear Goblins,11,14,The Log,3,6,Tornado,6,9,Mortar,11,14,Firecracker,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220313T153615.000Z,,54000017,Master III,72000007,Friendly,,collection,#R09228V,SK Morten,6820,1,#YUGJCLGU,SK Free2Play,16000044,Graveyard,3,6,Arrows,11,14,Giant Snowball,11,14,Zappies,9,12,Tombstone,9,12,Bowler,6,9,Skeleton King,1,4,Inferno Dragon,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Q2JRCLGJ,CAPGUN,6600,0,,,,Miner,3,6,Skeleton King,1,4,Tombstone,9,12,Inferno Dragon,3,6,Lava Hound,3,6,Flying Machine,9,12,Skeleton Dragons,11,14,Arrows,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220313T152233.000Z,,54000017,Master III,72000007,Friendly,,collection,#R09228V,SK Morten,6820,2,#YUGJCLGU,SK Free2Play,16000044,Royal Giant,11,14,Electro Spirit,11,14,Fireball,9,12,Fisherman,3,6,Barbarian Barrel,6,9,Bats,11,14,Archer Queen,1,4,Dark Prince,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9QG9RC0,Trainer Monzón™,6600,1,#LJ0LRGJ2,CRL TOP 2,16000110,Lava Hound,3,6,Zap,11,14,Tombstone,9,12,Balloon,6,9,Guards,6,9,Inferno Dragon,3,6,Fireball,9,12,Baby Dragon,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220313T150755.000Z,,54000017,Master III,72000007,Friendly,,collection,#R09228V,SK Morten,6820,0,#YUGJCLGU,SK Free2Play,16000044,Archers,11,14,Skeletons,11,14,Hog Rider,9,12,Knight,11,14,The Log,3,6,Earthquake,9,12,Royal Delivery,11,14,Inferno Tower,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9QG9RC0,Trainer Monzón™,6600,2,#LJ0LRGJ2,CRL TOP 2,16000110,Mega Knight,3,6,Electro Spirit,11,14,Archer Queen,1,4,Giant Snowball,11,14,Royal Ghost,3,6,Bandit,3,6,Ram Rider,3,6,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220313T150053.000Z,,54000017,Master III,72000007,Friendly,,collection,#R09228V,SK Morten,6820,1,#YUGJCLGU,SK Free2Play,16000044,Mega Knight,3,6,Lightning,6,9,Royal Ghost,3,6,Zappies,9,12,Inferno Dragon,3,6,Ram Rider,3,6,Bandit,3,6,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9QG9RC0,Trainer Monzón™,6600,0,#LJ0LRGJ2,CRL TOP 2,16000110,Valkyrie,9,12,The Log,3,6,Skeletons,11,14,Fire Spirit,11,14,Inferno Tower,9,12,Rocket,9,12,Dart Goblin,9,12,Goblin Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220313T142842.000Z,,54000017,Master III,72000007,Friendly,,collection,#R09228V,SK Morten,6820,1,#YUGJCLGU,SK Free2Play,16000044,Bomb Tower,9,12,Archer Queen,1,4,Guards,6,9,Electro Spirit,11,14,Poison,6,9,Miner,3,6,Royal Delivery,11,14,Knight,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PGPQQ9UPP,N。,7028,0,#LC8R22RR,引き分け詐欺 I よだっちょ,16000161,Giant Skeleton,6,9,Mother Witch,3,6,Balloon,6,9,Graveyard,3,6,Freeze,6,9,Skeleton King,1,4,Tombstone,9,12,Hunter,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
